,Unnamed: 0,Tempbyduration,Humibyduration,Presbyduration,Dewbyduration,Visibyduration,trips number,subscriber ratio,morning rate,afternoon rate,evening rate,night rate,mean_household_income,commuting_to_work_perc_PT,mean_work_commuting_time_min,perc_HS_or_higher,perc_bachelor_or_higher,start_crime_score,end_crime_score
2696,3444,52.46479416809606,0.6405381646655232,30.057785162950264,40.0895154373928,9.111921097770155,9,1.0,0.5167238421955404,0.0,0.3842195540308748,0.0,132599.0,7.0,20.1,0.93,0.6,96.33333333333331,96.33333333333331
2697,928,55.88983439490446,0.7449324840764331,30.180764331210195,47.78114649681529,9.339617834394904,7,1.0,0.28152866242038216,0.33299363057324843,0.29197452229299364,0.0935031847133758,84966.0,9.44285714285714,26.514285714285712,0.8,0.3114285714285714,466.5714285714286,437.9523809523809
2698,2273,57.29625666256664,0.7837021320213204,30.079476527265268,50.358187781877824,9.028685936859366,40,0.825,0.2830258302583026,0.35600656006560066,0.2826568265682657,0.0,144547.66666666663,26.384615384615387,28.22820512820513,0.884871794871795,0.5989743589743589,3141.3675213675206,3380.1880341880333
2699,3054,56.51695647700381,0.523972373700998,30.12167995678568,41.871509414548825,15.877250745961518,17,0.8235294117647058,0.09903282230682167,0.3960283979833316,0.3686593270912645,0.00910587509002984,145941.9375,9.3125,25.75625,0.930625,0.6331249999999998,565.53125,515.5666666666666
2700,946,59.38518792187563,0.4654852817829612,30.1213641810121,37.508703119383306,9.871270519630944,8,0.125,0.5797819227543236,0.1997843192075728,0.2204337580381036,0.0,164842.0,6.8,22.26666666666667,0.95,0.6866666666666666,199.55555555555557,69.0
2701,576,65.69915449654111,0.5706751217012556,29.916101716628233,49.36402767102229,21.30860876249039,8,1.0,0.10427875992826033,0.5982577504483729,0.29746348962336666,0.0,207898.0,6.299999999999999,23.125,0.975,0.775,384.625,415.8125
2702,749,54.16829969255446,0.6882863253575726,30.14820879561556,43.9253107873279,10.0,10,0.8,0.29969255447132737,0.11228445395000668,0.588022991578666,0.0,138374.8,6.5600000000000005,22.380000000000006,0.936,0.638,67.46666666666667,67.46666666666667
2703,2982,70.54301420064131,0.2937700412276683,30.018712780577182,36.299679340357315,10.0,6,0.8333333333333334,0.5657352267521759,0.0,0.4342647732478241,0.0,96983.33333333331,12.933333333333332,28.566666666666666,0.8633333333333333,0.49,930.7777777777777,786.1111111111113
2704,3604,58.58063540090772,0.3438275340393344,30.005075642965213,49.12042360060514,16.12783661119516,2,0.5,0.0,0.7518910741301059,0.2481089258698941,0.0,219868.0,6.3,23.1,0.98,0.79,447.0,447.0
2705,1612,66.46443163383803,0.6462714899616361,29.992051884085466,53.561301010840424,9.956275841500943,449,0.8106904231625836,0.3293532338308457,0.29897650711022544,0.2666910678216547,0.05445795545433595,151143.37272727274,27.02795454545456,28.2095454545454,0.8903863636363649,0.6095681818181821,3210.834090909087,3187.968325791857
2706,587,74.39679511068049,0.5144711932622792,29.835247074606844,55.099485727062685,18.810091674741003,4,0.5,0.29268838041290896,0.6326302452112991,0.0746813743757919,0.0,219868.0,6.3,23.1,0.98,0.79,447.0,384.625
2707,3810,57.21693042699313,0.7893191997611226,30.046840848014327,50.71645267243953,8.881457151388474,3,0.3333333333333333,0.29590922663481634,0.2633621976709465,0.0,0.44072857569423707,174818.33333333337,6.533333333333334,22.133333333333336,0.9566666666666668,0.7066666666666667,246.94444444444443,280.6666666666667
2708,198,62.690578697232326,0.5980947721554375,29.97636799925449,46.333324014537325,10.0,11,0.5454545454545454,0.1685770198490355,0.0,0.37489516354487,0.4565278166060945,74285.0,5.0,23.0,0.6899999999999998,0.16999999999999996,752.3333333333336,752.3333333333336
2709,2849,75.00982156473998,0.533925575720604,29.901772151898733,56.43098978191246,10.0,5,0.4,0.0,0.10050327893853896,0.7065731279548574,0.1929235931066036,89101.2,11.2,27.860000000000007,0.8420000000000001,0.398,672.6,672.6
2710,2896,61.285273165461156,0.6069396190842294,30.01023147266945,46.48743526273098,9.818928863336096,294,0.7891156462585034,0.22592949220353656,0.20507050033216145,0.4503773204648767,0.06582021482261087,153339.73076923078,26.293706293706308,27.70664335664339,0.8888811188811188,0.6086013986013984,3409.805361305361,3395.7804878048787
2711,3745,60.33484626647146,0.6838726207906295,29.99207906295754,46.99956076134699,7.180087847730602,3,1.0,0.0,0.7049780380673499,0.17935578330893118,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
2712,3582,61.20997776542524,0.6290572540300166,30.033370205669822,47.69504168982768,9.102056698165647,13,0.8461538461538461,0.13007226236798222,0.5029460811561979,0.3106170094496943,0.0,132599.0,7.0,20.1,0.93,0.6,96.33333333333331,96.33333333333331
2713,2241,60.948888888888895,0.6791111111111111,29.65177777777778,50.0,10.0,2,0.5,0.0,0.0,1.0,0.0,118504.5,25.45,26.5,0.845,0.515,4331.5,4574.0
2714,787,65.5460523962804,0.4089131795422031,30.133058834048647,41.415951359084396,9.443714234620886,11,0.5454545454545454,0.12947067238912732,0.8031562947067239,0.05436337625178827,0.0,142571.0,6.2,21.1,0.9375,0.6275,116.29166666666666,168.08333333333331
2715,3536,71.0328278153554,0.641800996796013,29.897730271745587,57.642272457576844,10.0,16,0.75,0.0754004983980064,0.3850480598077608,0.2519045923816305,0.2259166963332147,84806.8,9.859999999999998,27.020000000000003,0.8160000000000003,0.33,499.0,569.1041666666666
2716,2105,55.68350917474458,0.6620564215127478,30.09959214898416,43.33651970097529,9.308007858292036,153,0.8692810457516341,0.23311316102222476,0.255240882521768,0.4065938508056367,0.03391515955081615,151303.0197368421,26.267105263157887,27.854605263157893,0.8857894736842116,0.6044078947368413,3195.9692982456127,3270.1986754966892
2717,689,45.69302003081664,0.6604668721109399,30.09617873651772,33.97218798151002,10.0,6,1.0,0.07272727272727272,0.0,0.6305084745762712,0.0,156906.0,6.225,21.950000000000006,0.945,0.66,168.41666666666669,80.75
2718,1232,58.308362128541816,0.5656916609076251,30.08111667818475,40.25718728403593,9.212566228979496,16,0.875,0.08580972126238194,0.3675420410043769,0.4143054595715273,0.1323427781617139,93391.71428571428,12.85,29.057142857142853,0.8792857142857141,0.4799999999999999,871.952380952381,846.2000000000003
