0,12361
1,12019
2,38163
3,6939
4,80139
5,6630
6,972
7,13216
8,56247
9,3070
10,1093
11,1303
12,19891
13,15917
14,348870
15,65549
16,15843
17,209279
18,359471
19,17899
20,2904
21,1859
22,372926
23,48195
24,22284
25,2350
26,114712
27,55572
28,5020
29,110911
30,951
31,10254
32,25015
33,185936
34,674
35,1073
36,844
37,280321
38,20564
39,699
40,199985
41,1133
42,9875
43,7270
44,124290
45,54163
46,238824
47,7684
48,1452
49,4762
50,213927
51,6197
52,50926
53,317190
54,19459
55,13034
56,78918
57,295935
58,3968
59,122100
60,943
61,1519
62,6172
63,3165
64,26672
65,6928
66,50132
67,1357
68,36931
69,328814
70,3652
71,2061
72,3355
73,359938
74,1457
75,17963
76,3218
77,1560
78,384440
79,170337
80,2553
81,34528
82,19262
83,302801
84,214667
85,47496
86,53567
87,1370
88,3237
89,6157
90,1261
91,2404
92,4851
93,336397
94,32001
95,1773
96,294777
97,203839
98,270728
99,5453
100,4142
101,32853
102,3381
103,285520
104,247606
105,63649
106,68313
107,1790
108,210293
109,55269
110,240543
111,627
112,3144
113,9843
114,118898
115,320036
116,4171
117,783
118,151556
119,1721
120,401192
121,13253
122,1044
123,15806
124,309925
125,2792
126,4236
127,607
128,6982
129,12946
130,126482
131,2074
132,156157
133,3508
134,320776
135,4084
136,9820
137,10419
138,9813
139,259608
140,326341
141,121006
142,14141
143,31445
144,210431
145,62797
146,7189
147,273428
148,1032
149,277343
150,1703
151,111069
152,12007
153,3525
154,5077
155,280395
156,46911
157,55669
158,787
159,356766
160,3617
161,898
162,89017
163,11025
164,857
165,267197
166,3354
167,29982
168,1346
169,85774
170,31168
171,1426
172,251462
173,322376
174,86637
175,800
176,1357
177,1172
178,58291
179,70651
180,27570
181,6509
182,55878
183,84011
184,7841
185,347694
186,5916
187,778
188,1104
189,3764
190,102113
191,1424
192,2110
193,393130
194,9400
195,2085
196,9034
197,37839
198,2527
199,3249
200,2304
201,34471
202,4687
203,34929
204,2577
205,62652
206,19215
207,67132
208,302610
209,9837
210,12859
211,156751
212,76977
213,5298
214,1982
215,312013
216,3466
217,237601
218,19661
219,2442
220,281968
221,316674
222,3052
223,935
224,3747
225,10570
226,2419
227,39743
228,77163
229,3433
230,322182
231,63769
232,2730
233,676
234,978
235,9363
236,1171
237,5676
238,180570
239,8780
240,55123
241,1270
242,317605
243,245454
244,6204
245,61659
246,310071
247,307104
248,319108
249,816
250,221974
251,114732
252,664
253,2557
254,1803
255,16647
256,172059
257,71911
258,1019
259,10839
260,2504
261,1181
262,302251
263,168936
264,1405
265,58601
266,5313
267,35332
268,233221
269,8764
270,2230
271,14108
272,23731
273,397976
274,1950
275,5232
276,48778
277,1394
278,172247
279,829
280,4855
281,624
282,11744
283,71115
284,175830
285,10987
286,13613
287,99715
288,2394
289,921
290,204721
291,16382
292,796
293,2431
294,5900
295,9981
296,1526
297,1598
298,65007
299,22977
300,380953
301,2575
302,33934
303,14104
304,7255
305,59791
306,51151
307,38833
308,6631
309,254585
310,319203
311,6915
312,41803
313,6663
314,185127
315,13815
316,12492
317,1068
318,10912
319,81166
320,328907
321,1258
322,1063
323,4732
324,94843
325,2798
326,1238
327,79694
328,3247
329,1274
330,30193
331,2087
332,1442
333,20229
334,8492
335,1235
336,79915
337,4613
338,25104
339,2315
340,9830
341,1137
342,2521
343,200608
344,154655
345,4615
346,16389
347,4689
348,7276
349,57875
350,40109
351,87804
352,1083
353,4130
354,79767
355,139089
356,1694
357,8228
358,335235
359,1724
360,40615
361,647
362,63931
363,92433
364,391022
365,885
366,53204
367,272507
368,55784
369,5558
370,15789
371,5522
372,631
373,7578
374,2509
375,1421
376,10141
377,79986
378,4145
379,190736
380,311647
381,305838
382,65668
383,5600
384,326484
385,10397
386,7942
387,376575
388,263319
389,21819
390,2660
391,19501
392,123636
393,1427
394,144109
395,1229
396,13953
397,355572
398,5924
399,2236
400,55025
401,3538
402,2512
403,9782
404,47018
405,100804
406,2039
407,5077
408,233029
409,21217
410,14026
411,362050
412,1650
413,2468
414,44865
415,724
416,7061
417,366359
418,261246
419,404426
420,2694
421,1247
422,8363
423,7505
424,2060
425,3102
426,59800
427,2243
428,23465
429,31547
430,723
431,26434
432,68850
433,2536
434,175808
435,3032
436,27252
437,59732
438,416014
439,1903
440,3711
441,25391
442,37193
443,2029
444,206452
445,826
446,4731
447,3351
448,613
449,18159
